3.5938e+06 5.59e-24 5.87e-24 8.66e-24 3.65e-23 6.66e-23
3.4145e+06 5.50e-24 5.80e-24 8.76e-24 3.83e-23 7.03e-23
3.2442e+06 5.42e-24 5.73e-24 8.88e-24 4.03e-23 7.43e-23
3.0824e+06 5.34e-24 5.68e-24 9.04e-24 4.26e-23 7.89e-23
2.9286e+06 5.28e-24 5.64e-24 9.23e-24 4.52e-23 8.40e-23
2.7826e+06 5.21e-24 5.60e-24 9.46e-24 4.80e-23 8.97e-23
2.6438e+06 5.15e-24 5.56e-24 9.70e-24 5.10e-23 9.57e-23
2.5119e+06 5.09e-24 5.54e-24 9.98e-24 5.44e-23 1.02e-22
2.3866e+06 5.04e-24 5.51e-24 1.03e-23 5.79e-23 1.09e-22
2.2675e+06 4.99e-24 5.50e-24 1.07e-23 6.18e-23 1.17e-22
2.1544e+06 4.94e-24 5.49e-24 1.10e-23 6.63e-23 1.26e-22
2.0470e+06 4.90e-24 5.49e-24 1.15e-23 7.11e-23 1.36e-22
1.9449e+06 4.85e-24 5.50e-24 1.21e-23 7.63e-23 1.46e-22
1.8478e+06 4.82e-24 5.51e-24 1.25e-23 8.19e-23 1.57e-22
1.7557e+06 4.79e-24 5.53e-24 1.30e-23 8.75e-23 1.68e-22
1.6681e+06 4.77e-24 5.56e-24 1.35e-23 9.27e-23 1.79e-22
1.5849e+06 4.75e-24 5.58e-24 1.41e-23 9.77e-23 1.89e-22
1.5058e+06 4.73e-24 5.61e-24 1.44e-23 1.02e-22 1.97e-22
1.4307e+06 4.72e-24 5.63e-24 1.47e-23 1.05e-22 2.04e-22
1.3594e+06 4.71e-24 5.64e-24 1.50e-23 1.08e-22 2.09e-22
1.2916e+06 4.71e-24 5.66e-24 1.52e-23 1.10e-22 2.13e-22
1.2271e+06 4.71e-24 5.66e-24 1.52e-23 1.11e-22 2.15e-22
1.1659e+06 4.71e-24 5.67e-24 1.53e-23 1.12e-22 2.16e-22
1.1078e+06 4.72e-24 5.69e-24 1.54e-23 1.13e-22 2.18e-22
1.0525e+06 4.74e-24 5.72e-24 1.55e-23 1.14e-22 2.20e-22
1.0000e+06 4.76e-24 5.75e-24 1.57e-23 1.15e-22 2.22e-22
9.5012e+05 4.79e-24 5.79e-24 1.57e-23 1.15e-22 2.23e-22
9.0273e+05 4.84e-24 5.84e-24 1.58e-23 1.16e-22 2.25e-22
8.5770e+05 4.89e-24 5.90e-24 1.60e-23 1.17e-22 2.27e-22
8.1491e+05 4.95e-24 5.97e-24 1.62e-23 1.19e-22 2.30e-22
7.7426e+05 5.02e-24 6.06e-24 1.65e-23 1.21e-22 2.34e-22
7.3564e+05 5.10e-24 6.16e-24 1.68e-23 1.24e-22 2.40e-22
6.9895e+05 5.19e-24 6.29e-24 1.73e-23 1.27e-22 2.47e-22
6.6408e+05 5.29e-24 6.43e-24 1.79e-23 1.32e-22 2.57e-22
6.3096e+05 5.41e-24 6.61e-24 1.86e-23 1.39e-22 2.69e-22
5.9948e+05 5.54e-24 6.81e-24 1.95e-23 1.46e-22 2.85e-22
5.6958e+05 5.69e-24 7.04e-24 2.05e-23 1.55e-22 3.02e-22
5.4117e+05 5.86e-24 7.29e-24 2.16e-23 1.64e-22 3.20e-22
5.1418e+05 6.05e-24 7.55e-24 2.26e-23 1.73e-22 3.37e-22
4.8853e+05 6.24e-24 7.82e-24 2.35e-23 1.81e-22 3.52e-22
4.6416e+05 6.43e-24 8.06e-24 2.43e-23 1.87e-22 3.65e-22
4.4101e+05 6.65e-24 8.32e-24 2.50e-23 1.92e-22 3.75e-22
4.1901e+05 6.88e-24 8.59e-24 2.56e-23 1.96e-22 3.82e-22
3.9811e+05 7.13e-24 8.86e-24 2.62e-23 1.99e-22 3.88e-22
3.7825e+05 7.41e-24 9.16e-24 2.67e-23 2.02e-22 3.93e-22
3.5938e+05 7.69e-24 9.47e-24 2.72e-23 2.04e-22 3.98e-22
3.4146e+05 8.03e-24 9.82e-24 2.78e-23 2.08e-22 4.04e-22
3.2442e+05 8.37e-24 1.02e-23 2.85e-23 2.12e-22 4.12e-22
3.0824e+05 8.76e-24 1.06e-23 2.94e-23 2.17e-22 4.22e-22
2.9286e+05 9.17e-24 1.11e-23 3.03e-23 2.23e-22 4.33e-22
2.7826e+05 9.62e-24 1.16e-23 3.14e-23 2.30e-22 4.46e-22
2.6438e+05 1.01e-23 1.21e-23 3.25e-23 2.36e-22 4.59e-22
2.5119e+05 1.06e-23 1.26e-23 3.35e-23 2.43e-22 4.71e-22
2.3866e+05 1.11e-23 1.32e-23 3.45e-23 2.48e-22 4.82e-22
2.2676e+05 1.16e-23 1.38e-23 3.55e-23 2.53e-22 4.90e-22
2.1544e+05 1.22e-23 1.44e-23 3.62e-23 2.55e-22 4.95e-22
2.0470e+05 1.27e-23 1.49e-23 3.69e-23 2.57e-22 4.99e-22
1.9449e+05 1.33e-23 1.55e-23 3.74e-23 2.58e-22 4.99e-22
1.8478e+05 1.39e-23 1.59e-23 3.78e-23 2.56e-22 4.96e-22
1.7557e+05 1.42e-23 1.63e-23 3.79e-23 2.54e-22 4.90e-22
1.6681e+05 1.46e-23 1.67e-23 3.78e-23 2.50e-22 4.82e-22
1.5849e+05 1.48e-23 1.68e-23 3.75e-23 2.45e-22 4.72e-22
1.5058e+05 1.49e-23 1.69e-23 3.70e-23 2.38e-22 4.59e-22
1.4307e+05 1.48e-23 1.67e-23 3.62e-23 2.31e-22 4.45e-22
1.3594e+05 1.45e-23 1.65e-23 3.51e-23 2.23e-22 4.29e-22
1.2916e+05 1.40e-23 1.58e-23 3.37e-23 2.14e-22 4.11e-22
1.2271e+05 1.35e-23 1.50e-23 3.22e-23 2.04e-22 3.93e-22
1.1659e+05 1.25e-23 1.42e-23 3.05e-23 1.94e-22 3.73e-22
1.1078e+05 1.16e-23 1.33e-23 2.86e-23 1.83e-22 3.53e-22
1.0525e+05 1.06e-23 1.21e-23 2.66e-23 1.72e-22 3.32e-22
1.0000e+05 9.63e-24 1.10e-23 2.47e-23 1.61e-22 3.12e-22
9.5012e+04 8.76e-24 9.95e-24 2.27e-23 1.51e-22 2.91e-22
9.0273e+04 7.85e-24 8.96e-24 2.09e-23 1.40e-22 2.71e-22
8.5770e+04 6.96e-24 8.15e-24 1.91e-23 1.30e-22 2.51e-22
8.1492e+04 6.23e-24 7.26e-24 1.75e-23 1.20e-22 2.33e-22
7.7427e+04 5.66e-24 6.54e-24 1.60e-23 1.11e-22 2.14e-22
7.3565e+04 5.06e-24 5.98e-24 1.46e-23 1.02e-22 1.97e-22
6.9895e+04 4.59e-24 5.38e-24 1.34e-23 9.31e-23 1.81e-22
6.6409e+04 4.19e-24 4.92e-24 1.22e-23 8.52e-23 1.65e-22
6.3096e+04 3.86e-24 4.57e-24 1.12e-23 7.77e-23 1.51e-22
5.9949e+04 3.61e-24 4.18e-24 1.03e-23 7.08e-23 1.37e-22
5.6959e+04 3.33e-24 3.91e-24 9.37e-24 6.44e-23 1.25e-22
5.4117e+04 3.14e-24 3.61e-24 8.59e-24 5.85e-23 1.13e-22
5.1418e+04 2.92e-24 3.37e-24 7.88e-24 5.31e-23 1.03e-22
4.8853e+04 2.74e-24 3.15e-24 7.30e-24 4.81e-23 9.29e-23
4.6416e+04 2.59e-24 2.98e-24 6.64e-24 4.35e-23 8.40e-23
4.4101e+04 2.44e-24 2.77e-24 6.10e-24 3.94e-23 7.59e-23
4.1901e+04 2.33e-24 2.60e-24 5.60e-24 3.57e-23 6.86e-23
3.9811e+04 2.18e-24 2.45e-24 5.15e-24 3.22e-23 6.19e-23
3.7825e+04 2.08e-24 2.30e-24 4.74e-24 2.92e-23 5.60e-23
3.5939e+04 1.94e-24 2.17e-24 4.36e-24 2.64e-23 5.05e-23
3.4146e+04 1.86e-24 2.06e-24 4.06e-24 2.38e-23 4.56e-23
3.2443e+04 1.76e-24 1.94e-24 3.71e-24 2.16e-23 4.12e-23
3.0824e+04 1.65e-24 1.81e-24 3.41e-24 1.94e-23 3.70e-23
2.9287e+04 1.57e-24 1.73e-24 3.16e-24 1.77e-23 3.35e-23
2.7826e+04 1.51e-24 1.64e-24 2.94e-24 1.61e-23 3.05e-23
2.6438e+04 1.43e-24 1.56e-24 2.74e-24 1.47e-23 2.77e-23
2.5119e+04 1.37e-24 1.48e-24 2.56e-24 1.34e-23 2.54e-23
2.3866e+04 1.31e-24 1.43e-24 2.41e-24 1.24e-23 2.33e-23
2.2676e+04 1.28e-24 1.36e-24 2.27e-24 1.15e-23 2.15e-23
2.1545e+04 1.22e-24 1.31e-24 2.16e-24 1.07e-23 2.00e-23
2.0470e+04 1.18e-24 1.27e-24 2.05e-24 1.00e-23 1.87e-23
1.9449e+04 1.15e-24 1.22e-24 1.97e-24 9.44e-24 1.76e-23
1.8479e+04 1.11e-24 1.19e-24 1.89e-24 8.98e-24 1.67e-23
1.7557e+04 1.09e-24 1.15e-24 1.83e-24 8.61e-24 1.60e-23
1.6682e+04 1.07e-24 1.14e-24 1.78e-24 8.31e-24 1.55e-23
1.5849e+04 1.04e-24 1.11e-24 1.73e-24 8.07e-24 1.50e-23
1.5059e+04 1.02e-24 1.09e-24 1.72e-24 7.90e-24 1.47e-23
1.4308e+04 1.01e-24 1.06e-24 1.67e-24 7.77e-24 1.45e-23
1.3594e+04 9.77e-25 1.04e-24 1.64e-24 7.69e-24 1.43e-23
1.2916e+04 9.58e-25 1.03e-24 1.62e-24 7.64e-24 1.42e-23
1.2272e+04 9.50e-25 1.01e-24 1.60e-24 7.62e-24 1.42e-23
1.1660e+04 9.33e-25 9.84e-25 1.59e-24 7.62e-24 1.42e-23
1.1078e+04 9.07e-25 9.78e-25 1.58e-24 7.65e-24 1.43e-23
1.0526e+04 8.91e-25 9.62e-25 1.56e-24 7.69e-24 1.44e-23
1.0000e+04 8.76e-25 9.47e-25 1.55e-24 7.73e-24 1.45e-23
